dataset,optimiser,seed,train_rmse,test_rmse
laser,rmsprop,2,7.234714508056641,6.379870891571045
laser,rmsprop,3,7.782525539398193,6.533759593963623
laser,rmsprop,4,8.210963249206543,7.297061920166016
laser,rmsprop,5,8.00794506072998,6.599943161010742
laser,rmsprop,6,7.528794765472412,6.218843936920166
laser,rmsprop,7,7.931780815124512,6.522446155548096
laser,rmsprop,8,8.025212287902832,6.380501747131348
laser,rmsprop,9,7.5347089767456055,6.297640323638916
laser,pso,0,8.190672874450684,6.842983722686768
laser,pso,1,8.239480018615723,7.198714256286621
laser,pso,2,7.903049945831299,6.693916320800781
laser,pso,3,9.373281478881836,7.386321067810059
laser,pso,4,9.338417053222656,8.466117858886719
laser,pso,5,9.217512130737305,8.50671672821045
laser,pso,6,9.011332511901855,7.858100891113281
laser,pso,7,8.817323684692383,7.373758316040039
laser,pso,8,9.631664276123047,7.504492282867432
laser,pso,9,8.815387725830078,7.502537250518799
laser,ga,0,9.42171859741211,8.716463088989258
laser,ga,1,9.347672462463379,8.52076530456543
laser,ga,2,9.173210144042969,8.51480770111084
laser,ga,3,9.92481803894043,8.91927433013916
laser,ga,4,10.844417572021484,9.293731689453125
laser,ga,5,10.511130332946777,8.97724723815918
laser,ga,6,9.654316902160645,8.877043724060059
laser,ga,7,10.034801483154297,8.551904678344727
laser,ga,8,10.189659118652344,8.384490013122559
laser,ga,9,9.513764381408691,8.318796157836914
laser,de,0,8.938693046569824,7.827277183532715
laser,de,1,8.836005210876465,7.887850284576416
laser,de,2,9.156310081481934,8.462701797485352
laser,de,3,9.717772483825684,8.864532470703125
laser,de,4,11.029840469360352,10.214516639709473
laser,de,5,10.504298210144043,8.631147384643555
laser,de,6,9.200551986694336,8.272043228149414
laser,de,7,10.116812705993652,8.64762020111084
laser,de,8,9.867484092712402,7.930403709411621
laser,de,9,10.003355026245117,9.010214805603027
laser,cmaes,0,10.423365592956543,10.276423454284668
laser,cmaes,1,10.51091194152832,9.461779594421387
laser,cmaes,2,9.931633949279785,9.658425331115723
laser,cmaes,3,11.601448059082031,10.967843055725098
laser,cmaes,4,12.548928260803223,11.218915939331055
laser,cmaes,5,12.155558586120605,11.095791816711426
laser,cmaes,6,10.613269805908203,9.963046073913574
laser,cmaes,7,11.356002807617188,9.957534790039062
laser,cmaes,8,11.470222473144531,9.922357559204102
